,"ja","en"
"name","アコーディオン","Accordion"
"fields.loop:label","アコーディオンコンテンツ","Accordion contents"
"subModule.loop.accordion-label:label","ラベル","Label"
"subModule.loop.main:label","アコーディオンコンテンツ","Accordion contents"
