,"ja","en"
"name","セクション","Section"
"fields.style:label","スタイル","Style"
"fields.style:options.0.label","プレーン","Plain"
"fields.style:options.1.label","枠で囲う","Framed"
"fields.section_type:label","セクションの種類","Section type"
"fields.section_type:options.0","なし","Normal"
"fields.section_type:options.1","セクション","Section"
"fields.section_type:options.2","記事","Article"
"fields.section_type:options.3","余談","Sside"
"fields.heading:label","見出しエリア","Heading area"
"fields.main:label","本文","Main text"
