,"ja","en"
"name","見出し","Heading"
"fields.hx:label","見出しレベル","Heading level"
"fields.hx:options.0.label","レベル 2 見出し (中見出し)","Level 2"
"fields.hx:options.1.label","レベル 3 見出し (小見出し)","Level 3"
"fields.hx:options.2.label","レベル 4 見出し","Level 4"
"fields.hx:options.3.label","レベル 5 見出し","Level 5"
"fields.hx:options.4.label","レベル 6 見出し","Level 6"
"fields.main:label","見出し","Heading"
"fields.sub:label","副見出し","Sub Text"
