,"ja","en"
"name","見出し (ショルダーメニュー付き)","Headding (with Shoulder menu)"
"fields.hx:label","見出しレベル","Heading level"
"fields.main:label","見出し","Heading"
"fields.sub:label","副見出し","Sub Text"
"fields.shoulder:label","ショルダーメニュー","Shoulder menu"
